venue,title,category,area,max_price
Budokan,Paul McCartney,"Rock,Pop",Kudanshita,100000.0
Liquidroom,PAELLAS,"Indie,Pop",Ebisu,72733.0
O-East,SYNCHRONICITY ’16 - After Hours,Festival,Shibuya,72102.0
O-Nest,"DEAD PAN SPEAKERS, ELMO, 蟬, とんちピクルス, U span D, 1000s of cats, Subliminal Echoes, V/ACATION, more",Mixed Genre,Shibuya,70435.0
N/A,ARCADIA JAPAN,"Electronic,Festival",N/A,34000.0
N/A,ARCADIA JAPAN,Festival,N/A,34000.0
N/A,"MATE ROCK: Jimmy Barnes and Mahalia Barnes, The Angels feat. Dave Gleeson, more",Rock,N/A,25000.0
N/A,Björk,Electronic,N/A,22000.0
Naeba Ski Resort,FUJI ROCK FESTIVAL,Festival,Naeba,19000.0
N/A,Paul McCartney,Pop,N/A,17500.0
